Id,Label,timeset,nodecolor-multimode,modularity_class,Degree,Year
Morel,Morel,"<[1830.0, 1895.0]>",blue,15,3,
Duncan,Duncan,"<[1830.0, 1895.0]>",blue,0,1,
Cowley,Cowley,"<[1830.0, 1895.0]>",blue,0,3,
Jennings,Jennings,"<[1830.0, 1895.0]>",blue,0,2,
S. S. Jocelyn,S. S. Jocelyn,"<[1830.0, 1895.0]>",blue,0,2,
Arthur Tappan,Arthur Tappan,"<[1830.0, 1895.0]>",blue,0,3,
Benjamin Lundy,Benjamin Lundy,"<[1830.0, 1895.0]>",blue,0,3,
William L. Garrison,William L. Garrison,"<[1830.0, 1895.0]>",blue,0,2,
Thomas Shipley,Thomas Shipley,"<[1830.0, 1895.0]>",blue,0,3,
Charles Pierce,Charles Pierce,"<[1830.0, 1895.0]>",blue,0,1,
Jocelyn,Jocelyn,"<[1830.0, 1895.0]>",blue,0,2,
Tappan,Tappan,"<[1830.0, 1895.0]>",blue,10,2,
Garrison,Garrison,"<[1830.0, 1895.0]>",blue,15,6,
New-Haven,New-Haven,"<[1830.0, 1895.0]>",blue,0,2,
Samuel E. Cornish,Samuel E. Cornish,"<[1830.0, 1895.0]>",blue,15,4,
Hosea Reiston,Hosea Reiston,"<[1830.0, 1895.0]>",blue,0,1,
Robert Roberts,Robert Roberts,"<[1830.0, 1895.0]>",blue,0,2,
James G. Barbadoes,James G. Barbadoes,"<[1830.0, 1895.0]>",blue,0,4,
Samuel Snowden,Samuel Snowden,"<[1830.0, 1895.0]>",blue,0,2,
Peter Williams,Peter Williams,"<[1830.0, 1895.0]>",blue,0,3,
Philip Bell,Philip Bell,"<[1830.0, 1895.0]>",blue,0,1,
Thomas Downing,Thomas Downing,"<[1830.0, 1895.0]>",blue,0,2,
Peter Voglesang,Peter Voglesang,"<[1830.0, 1895.0]>",blue,0,2,
Robert Douglass,Robert Douglass,"<[1830.0, 1895.0]>",blue,0,3,
James Forten,James Forten,"<[1830.0, 1895.0]>",blue,0,3,
Robert Purvis,Robert Purvis,"<[1830.0, 1895.0]>",blue,4,6,
Thomas Green,Thomas Green,"<[1830.0, 1895.0]>",blue,0,2,
Samuel G. Mathews,Samuel G. Mathews,"<[1830.0, 1895.0]>",blue,0,2,
Isaac Whipper,Isaac Whipper,"<[1830.0, 1895.0]>",blue,0,2,
Samuel Hiner,Samuel Hiner,"<[1830.0, 1895.0]>",blue,0,3,
Biars Stanley,Biars Stanley,"<[1830.0, 1895.0]>",blue,0,1,
John Creed,John Creed,"<[1830.0, 1895.0]>",blue,0,2,
Alexander C. Luca,Alexander C. Luca,"<[1830.0, 1895.0]>",blue,0,2,
L. I. -- Jacob Deyes,L. I. -- Jacob Deyes,"<[1830.0, 1895.0]>",blue,0,1,
Henry Thomson,Henry Thomson,"<[1830.0, 1895.0]>",blue,0,1,
Willis Jones,Willis Jones,"<[1830.0, 1895.0]>",blue,0,2,
Peter Spencer,Peter Spencer,"<[1830.0, 1895.0]>",blue,0,2,
Jacob Morgan,Jacob Morgan,"<[1830.0, 1895.0]>",blue,0,3,
William S. Thomas,William S. Thomas,"<[1830.0, 1895.0]>",blue,0,1,
Benjamin Latimore,Benjamin Latimore,"<[1830.0, 1895.0]>",blue,0,2,
Schuyler,Schuyler,"<[1830.0, 1895.0]>",blue,0,2,
Francis March,Francis March,"<[1830.0, 1895.0]>",blue,0,2,
D. C. -- William Jackson,D. C. -- William Jackson,"<[1830.0, 1895.0]>",blue,0,1,
Arthur Waring,Arthur Waring,"<[1830.0, 1895.0]>",blue,0,4,
Isaac Carey,Isaac Carey,"<[1830.0, 1895.0]>",blue,0,2,
Charles Butler,Charles Butler,"<[1830.0, 1895.0]>",blue,0,2,
Jared Grey,Jared Grey,"<[1830.0, 1895.0]>",blue,0,1,
Carlisle,Carlisle,"<[1830.0, 1895.0]>",blue,0,4,
John Peck,John Peck,"<[1830.0, 1895.0]>",blue,17,9,
Rowland G. Roberts,Rowland G. Roberts,"<[1830.0, 1895.0]>",blue,0,1,
Dennis Berry,Dennis Berry,"<[1830.0, 1895.0]>",blue,0,2,
John B. Vashon,John B. Vashon,"<[1830.0, 1895.0]>",blue,12,6,
Lewis Gardiner,Lewis Gardiner,"<[1830.0, 1895.0]>",blue,0,1,
Abraham Lewis,Abraham Lewis,"<[1830.0, 1895.0]>",blue,0,2,
N. J.,N. J.,"<[1830.0, 1895.0]>",blue,0,5,
Peter Petitt,Peter Petitt,"<[1830.0, 1895.0]>",blue,0,1,
Charles Anderson,Charles Anderson,"<[1830.0, 1895.0]>",blue,17,3,
Adam Ray,Adam Ray,"<[1830.0, 1895.0]>",blue,0,2,
Leonard Scott,Leonard Scott,"<[1830.0, 1895.0]>",blue,0,2,
Joseph Casey,Joseph Casey,"<[1830.0, 1895.0]>",blue,0,1,
Thomas L. Jennings,Thomas L. Jennings,"<[1830.0, 1895.0]>",blue,16,3,
Henry H. Mondy,Henry H. Mondy,"<[1830.0, 1895.0]>",blue,0,1,
Abner Cocker,Abner Cocker,"<[1830.0, 1895.0]>",blue,0,1,
William Wormley,William Wormley,"<[1830.0, 1895.0]>",blue,0,1,
John W. Prout,John W. Prout,"<[1830.0, 1895.0]>",blue,0,1,
James Wilkins,James Wilkins,"<[1830.0, 1895.0]>",blue,0,1,
Scipio C. Augustus,Scipio C. Augustus,"<[1830.0, 1895.0]>",blue,0,2,
Charles Hatfield,Charles Hatfield,"<[1830.0, 1895.0]>",blue,0,1,
John Liverpool,John Liverpool,"<[1830.0, 1895.0]>",blue,0,3,
Shipley,Shipley,"<[1830.0, 1895.0]>",blue,0,1,
Lundy,Lundy,"<[1830.0, 1895.0]>",blue,0,1,
Peirce,Peirce,"<[1830.0, 1895.0]>",blue,0,1,
Long-Island,Long-Island,"<[1830.0, 1895.0]>",blue,0,1,
Lewis G. Wells,Lewis G. Wells,"<[1830.0, 1895.0]>",blue,0,1,
1832.PA-06.04.PHIL.txt,1832.PA-06.04.PHIL.txt,"<[1832.0, 1832.0]>",red,0,183,1832
Benj,Benj,"<[1830.0, 1895.0]>",blue,18,6,
Paschal,Paschal,"<[1830.0, 1895.0]>",blue,0,1,
Butler,Butler,"<[1830.0, 1895.0]>",blue,0,7,
C. Matthews,C. Matthews,"<[1830.0, 1895.0]>",blue,0,1,
Benjamin Paschal,Benjamin Paschal,"<[1830.0, 1895.0]>",blue,0,1,
F. A. Hinton,F. A. Hinton,"<[1830.0, 1895.0]>",blue,0,2,
J. C. Morel,J. C. Morel,"<[1830.0, 1895.0]>",blue,0,2,
Samuel Johnson,Samuel Johnson,"<[1830.0, 1895.0]>",blue,0,1,
William Hamilton,William Hamilton,"<[1830.0, 1895.0]>",blue,0,4,
Philip A. Bell,Philip A. Bell,"<[1830.0, 1895.0]>",blue,21,5,
Joseph Burton,Joseph Burton,"<[1830.0, 1895.0]>",blue,0,2,
William Johnson,William Johnson,"<[1830.0, 1895.0]>",blue,17,7,
D. Shad,D. Shad,"<[1830.0, 1895.0]>",blue,0,1,
Samuel Elliott,Samuel Elliott,"<[1830.0, 1895.0]>",blue,0,2,
Thomas D. Coxsin,Thomas D. Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
Thomas Banks,Thomas Banks,"<[1830.0, 1895.0]>",blue,0,2,
Aaron Roberts,Aaron Roberts,"<[1830.0, 1895.0]>",blue,0,1,
Hosea Easton,Hosea Easton,"<[1830.0, 1895.0]>",blue,11,3,
Nathan Johnson,Nathan Johnson,"<[1830.0, 1895.0]>",blue,0,4,
Paul Drayton,Paul Drayton,"<[1830.0, 1895.0]>",blue,0,1,
Ichabod Northrop,Ichabod Northrop,"<[1830.0, 1895.0]>",blue,0,1,
Sipkins,Sipkins,"<[1830.0, 1895.0]>",blue,0,2,
C. W. Gardner,C. W. Gardner,"<[1830.0, 1895.0]>",blue,0,1,
John Dowers,John Dowers,"<[1830.0, 1895.0]>",blue,0,1,
R. R. Gurley,R. R. Gurley,"<[1830.0, 1895.0]>",blue,0,1,
Brackenridge,Brackenridge,"<[1830.0, 1895.0]>",blue,0,1,
Abraham,Abraham,"<[1830.0, 1895.0]>",blue,0,2,
Pennington,Pennington,"<[1830.0, 1895.0]>",blue,23,5,
Gurley,Gurley,"<[1830.0, 1895.0]>",blue,15,2,
Hamilton,Hamilton,"<[1830.0, 1895.0]>",blue,23,8,
Bell,Bell,"<[1830.0, 1895.0]>",blue,19,5,
T. D. Coxsin,T. D. Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
Wm. Lloyd Garrison,Wm. Lloyd Garrison,"<[1830.0, 1895.0]>",blue,0,1,
Vashon,Vashon,"<[1830.0, 1895.0]>",blue,0,5,
Coxsin,Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
Johnson,Johnson,"<[1830.0, 1895.0]>",blue,25,19,
Peck,Peck,"<[1830.0, 1895.0]>",blue,0,5,
Elliot,Elliot,"<[1830.0, 1895.0]>",blue,0,1,
Roberts,Roberts,"<[1830.0, 1895.0]>",blue,11,7,
Hiner,Hiner,"<[1830.0, 1895.0]>",blue,20,2,
A. D. Shad,A. D. Shad,"<[1830.0, 1895.0]>",blue,0,1,
P. M.,P. M.,"<[1830.0, 1895.0]>",blue,11,11,
Easton,Easton,"<[1830.0, 1895.0]>",blue,0,2,
Patterson,Patterson,"<[1830.0, 1895.0]>",blue,17,2,
Evan Lewis,Evan Lewis,"<[1830.0, 1895.0]>",blue,0,2,
Andrew Jackson,Andrew Jackson,"<[1830.0, 1895.0]>",blue,17,8,
Thos,Thos,"<[1830.0, 1895.0]>",blue,23,3,
Jackson,Jackson,"<[1830.0, 1895.0]>",blue,0,16,
Jolin B. Vashon,Jolin B. Vashon,"<[1830.0, 1895.0]>",blue,0,1,
C. W Gardner,C. W Gardner,"<[1830.0, 1895.0]>",blue,0,1,
T. Coxsin,T. Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
Henrv Slpkins,Henrv Slpkins,"<[1830.0, 1895.0]>",blue,0,1,
Cor,Cor,"<[1830.0, 1895.0]>",blue,0,2,
G. Barbadoes,G. Barbadoes,"<[1830.0, 1895.0]>",blue,0,2,
V. P. -- H. H. Mauday,V. P. -- H. H. Mauday,"<[1830.0, 1895.0]>",blue,0,1,
C. Willis,C. Willis,"<[1830.0, 1895.0]>",blue,0,1,
Peter Osborn,Peter Osborn,"<[1830.0, 1895.0]>",blue,0,2,
V. P.,V. P.,"<[1830.0, 1895.0]>",blue,0,1,
Abner Crocker,Abner Crocker,"<[1830.0, 1895.0]>",blue,0,1,
Benjamin Pascal,Benjamin Pascal,"<[1830.0, 1895.0]>",blue,0,1,
James E. Cornish,James E. Cornish,"<[1830.0, 1895.0]>",blue,0,1,
D. Coxsin,D. Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
J.C. Morel,J.C. Morel,"<[1830.0, 1895.0]>",blue,0,1,
Robt,Robt,"<[1830.0, 1895.0]>",blue,0,4,
P. A. Bell,P. A. Bell,"<[1830.0, 1895.0]>",blue,12,6,
J. B. Vashon,J. B. Vashon,"<[1830.0, 1895.0]>",blue,0,2,
B. Paschal,B. Paschal,"<[1830.0, 1895.0]>",blue,0,1,
C. Mathews,C. Mathews,"<[1830.0, 1895.0]>",blue,0,1,
George Johnson,George Johnson,"<[1830.0, 1895.0]>",blue,17,2,
Wm. C. West,Wm. C. West,"<[1830.0, 1895.0]>",blue,0,1,
Stephen H. Gloucester,Stephen H. Gloucester,"<[1830.0, 1895.0]>",blue,0,2,
Simeon S. Jocelyn,Simeon S. Jocelyn,"<[1830.0, 1895.0]>",blue,0,2,
T. L. Jennings,T. L. Jennings,"<[1830.0, 1895.0]>",blue,0,2,
Harrison,Harrison,"<[1830.0, 1895.0]>",blue,0,2,
K. A. Hinton,K. A. Hinton,"<[1830.0, 1895.0]>",blue,0,1,
Cornish,Cornish,"<[1830.0, 1895.0]>",blue,13,4,
Peter Wiliams,Peter Wiliams,"<[1830.0, 1895.0]>",blue,0,1,
Charles Morton,Charles Morton,"<[1830.0, 1895.0]>",blue,1,2,
Jacob Deyes,Jacob Deyes,"<[1830.0, 1895.0]>",blue,0,1,
Henry Thompson,Henry Thompson,"<[1830.0, 1895.0]>",blue,1,2,
Thomas Johnson,Thomas Johnson,"<[1830.0, 1895.0]>",blue,17,4,
John Potter,John Potter,"<[1830.0, 1895.0]>",blue,0,1,
Gardner,Gardner,"<[1830.0, 1895.0]>",blue,0,2,
Lewis Woodson,Lewis Woodson,"<[1830.0, 1895.0]>",blue,0,3,
Simmons,Simmons,"<[1830.0, 1895.0]>",blue,0,2,
Roland G. Robinson,Roland G. Robinson,"<[1830.0, 1895.0]>",blue,0,1,
Charles K. Kook,Charles K. Kook,"<[1830.0, 1895.0]>",blue,0,1,
Morris Anderson,Morris Anderson,"<[1830.0, 1895.0]>",blue,0,1,
Richard C. Johnson,Richard C. Johnson,"<[1830.0, 1895.0]>",blue,0,1,
H. Foster,H. Foster,"<[1830.0, 1895.0]>",blue,14,2,
C. Munroe,C. Munroe,"<[1830.0, 1895.0]>",blue,12,2,
Alexander C. Lucas,Alexander C. Lucas,"<[1830.0, 1895.0]>",blue,0,1,
J. C. Bemen,J. C. Bemen,"<[1830.0, 1895.0]>",blue,0,1,
Joseph Gilbert,Joseph Gilbert,"<[1830.0, 1895.0]>",blue,0,1,
Robert Henson,Robert Henson,"<[1830.0, 1895.0]>",blue,0,1,
James C. Cowes,James C. Cowes,"<[1830.0, 1895.0]>",blue,0,1,
John Barclay,John Barclay,"<[1830.0, 1895.0]>",blue,0,1,
Peter Petit,Peter Petit,"<[1830.0, 1895.0]>",blue,0,1,
John Kelly,John Kelly,"<[1830.0, 1895.0]>",blue,0,2,
Wm. S. Thomas,Wm. S. Thomas,"<[1830.0, 1895.0]>",blue,0,1,
Kennedy,Kennedy,"<[1830.0, 1895.0]>",blue,0,1,
Hinton,Hinton,"<[1830.0, 1895.0]>",blue,23,4,
P. Drayton,P. Drayton,"<[1830.0, 1895.0]>",blue,0,1,
Austin Stewart,Austin Stewart,"<[1830.0, 1895.0]>",blue,0,5,
Grice,Grice,"<[1830.0, 1895.0]>",blue,0,1,
Bill,Bill,"<[1830.0, 1895.0]>",blue,15,6,
William Lloyd Garrison,William Lloyd Garrison,"<[1830.0, 1895.0]>",blue,0,5,
W. Gardner,W. Gardner,"<[1830.0, 1895.0]>",blue,0,1,
Whipper,Whipper,"<[1830.0, 1895.0]>",blue,0,5,
Thomas Wiliiams,Thomas Wiliiams,"<[1830.0, 1895.0]>",blue,0,1,
J. G. Smith,J. G. Smith,"<[1830.0, 1895.0]>",blue,0,1,
Thornas D. Coxsin,Thornas D. Coxsin,"<[1830.0, 1895.0]>",blue,0,1,
Barbour,Barbour,"<[1830.0, 1895.0]>",blue,0,1,
Dennison,Dennison,"<[1830.0, 1895.0]>",blue,0,2,
Lloyd Garrison,Lloyd Garrison,"<[1830.0, 1895.0]>",blue,0,2,
Aid-De-Camp,Aid-De-Camp,"<[1830.0, 1895.0]>",blue,0,3,
1833.PA-06.03.PHIL.txt,1833.PA-06.03.PHIL.txt,"<[1833.0, 1833.0]>",red,0,173,1833
Charles H. Levick,Charles H. Levick,"<[1830.0, 1895.0]>",blue,0,1,
Noah Cannon,Noah Cannon,"<[1830.0, 1895.0]>",blue,0,1,
Abraham D. Shadd,Abraham D. Shadd,"<[1830.0, 1895.0]>",blue,0,4,
William Lewis,William Lewis,"<[1830.0, 1895.0]>",blue,0,1,
Caleb Cregg,Caleb Cregg,"<[1830.0, 1895.0]>",blue,0,1,
Vincent Smith,Vincent Smith,"<[1830.0, 1895.0]>",blue,0,1,
Jeremiah Miller,Jeremiah Miller,"<[1830.0, 1895.0]>",blue,0,1,
Samuel C. Hutchins,Samuel C. Hutchins,"<[1830.0, 1895.0]>",blue,0,2,
J,J,"<[1830.0, 1895.0]>",blue,0,2,
D. Richardson,D. Richardson,"<[1830.0, 1895.0]>",blue,0,1,
George Galbrecht,George Galbrecht,"<[1830.0, 1895.0]>",blue,0,1,
William Brewer,William Brewer,"<[1830.0, 1895.0]>",blue,0,2,
Wilkesbarre,Wilkesbarre,"<[1830.0, 1895.0]>",blue,0,2,
William D. Jenkins,William D. Jenkins,"<[1830.0, 1895.0]>",blue,0,1,
Henry Frisby,Henry Frisby,"<[1830.0, 1895.0]>",blue,0,1,
Benjamin Stokely,Benjamin Stokely,"<[1830.0, 1895.0]>",blue,0,1,
James C. Matthews,James C. Matthews,"<[1830.0, 1895.0]>",blue,0,2,
Henry Ogden,Henry Ogden,"<[1830.0, 1895.0]>",blue,0,2,
Emanuel W. Congo,Emanuel W. Congo,"<[1830.0, 1895.0]>",blue,0,1,
Robert J. Taylor,Robert J. Taylor,"<[1830.0, 1895.0]>",blue,0,1,
Abner H. Francis,Abner H. Francis,"<[1830.0, 1895.0]>",blue,17,6,
Peter Hubbard,Peter Hubbard,"<[1830.0, 1895.0]>",blue,0,2,
Matthew Draper,Matthew Draper,"<[1830.0, 1895.0]>",blue,0,1,
R. I. -- George Spywood,R. I. -- George Spywood,"<[1830.0, 1895.0]>",blue,0,1,
George W. Thompson,George W. Thompson,"<[1830.0, 1895.0]>",blue,0,1,
Richard Johnson,Richard Johnson,"<[1830.0, 1895.0]>",blue,11,4,
Luke Lathrop,Luke Lathrop,"<[1830.0, 1895.0]>",blue,0,2,
Mason Freeman,Mason Freeman,"<[1830.0, 1895.0]>",blue,0,1,
Thomas L. Jinnings,Thomas L. Jinnings,"<[1830.0, 1895.0]>",blue,0,2,
Ransom F. Wake,Ransom F. Wake,"<[1830.0, 1895.0]>",blue,0,1,
Charles Mortimer,Charles Mortimer,"<[1830.0, 1895.0]>",blue,0,1,
James Barnett,James Barnett,"<[1830.0, 1895.0]>",blue,0,1,
George Richardson,George Richardson,"<[1830.0, 1895.0]>",blue,0,1,
David Ruggles,David Ruggles,"<[1830.0, 1895.0]>",blue,0,2,
William Brown,William Brown,"<[1830.0, 1895.0]>",blue,0,1,
H.C. Thompson,H.C. Thompson,"<[1830.0, 1895.0]>",blue,0,1,
J. W. C. Pennington,J. W. C. Pennington,"<[1830.0, 1895.0]>",blue,15,7,
Charles Smith,Charles Smith,"<[1830.0, 1895.0]>",blue,19,2,
P. Johnson,P. Johnson,"<[1830.0, 1895.0]>",blue,1,5,
William Rich,William Rich,"<[1830.0, 1895.0]>",blue,12,9,
Troy,Troy,"<[1830.0, 1895.0]>",blue,12,8,
John G. Stewart,John G. Stewart,"<[1830.0, 1895.0]>",blue,0,2,
Messrs. Watkins,Messrs. Watkins,"<[1830.0, 1895.0]>",blue,0,1,
Douglass,Douglass,"<[1830.0, 1895.0]>",blue,15,17,
Thomas Van Renselear,Thomas Van Renselear,"<[1830.0, 1895.0]>",blue,0,1,
L. Jinnings,L. Jinnings,"<[1830.0, 1895.0]>",blue,0,1,
Richard D. Johnson,Richard D. Johnson,"<[1830.0, 1895.0]>",blue,0,1,
John B. Dupuy,John B. Dupuy,"<[1830.0, 1895.0]>",blue,0,1,
Messrs. Purvis,Messrs. Purvis,"<[1830.0, 1895.0]>",blue,0,1,
Spywood,Spywood,"<[1830.0, 1895.0]>",blue,0,3,
Barbadoes,Barbadoes,"<[1830.0, 1895.0]>",blue,0,4,
P. C. Matthews,P. C. Matthews,"<[1830.0, 1895.0]>",blue,0,1,
Purvis,Purvis,"<[1830.0, 1895.0]>",blue,0,3,
T. L. Jinnings,T. L. Jinnings,"<[1830.0, 1895.0]>",blue,0,1,
Wm. Lewis,Wm. Lewis,"<[1830.0, 1895.0]>",blue,17,3,
Elliott,Elliott,"<[1830.0, 1895.0]>",blue,0,1,
R. F. Wake,R. F. Wake,"<[1830.0, 1895.0]>",blue,0,1,
J. G. Stewart,J. G. Stewart,"<[1830.0, 1895.0]>",blue,0,1,
S. H. Gloucester,S. H. Gloucester,"<[1830.0, 1895.0]>",blue,0,1,
Geo,Geo,"<[1830.0, 1895.0]>",blue,18,8,
R. Purvis,R. Purvis,"<[1830.0, 1895.0]>",blue,0,1,
George Spywood,George Spywood,"<[1830.0, 1895.0]>",blue,0,2,
William,William,"<[1830.0, 1895.0]>",blue,0,1,
James W. C. Pennington,James W. C. Pennington,"<[1830.0, 1895.0]>",blue,0,3,
Henry C. Thompson,Henry C. Thompson,"<[1830.0, 1895.0]>",blue,0,2,
Wm. D. Jenkins,Wm. D. Jenkins,"<[1830.0, 1895.0]>",blue,0,1,
Abner Frances,Abner Frances,"<[1830.0, 1895.0]>",blue,0,1,
Thomas,Thomas,"<[1830.0, 1895.0]>",blue,8,5,
Levington,Levington,"<[1830.0, 1895.0]>",blue,0,1,
