Type,Value,Newspaper,Start,End
role,editor,TheLily,1849-01-01,1854-12-15
role,corresponding editor,TheNationalEra,1847-01-01,1847-08-12
role,publisher,TheNationalEra,1847-01-01,1848-12-07
role,editor,TheNationalEra,1847-01-07,1860-03-22
role,corresponding editor,TheNationalEra,1847-01-07,1860-03-22
role,proprietor,TheNationalEra,1848-02-10,1860-03-22
role,editor,TheNorthStar,1847-12-03,1851-04-17
role,printer,TheNorthStar,1847-12-03,1848-06-23
role,editor,TheNorthStar,1847-12-03,1849-06-29
role,publisher,TheNorthStar,1847-12-03,1848-06-23
role,publisher,TheNorthStar,1848-06-30,1849-12-21
role,printer,TheNorthStar,1851-01-23,1851-04-17
role,corresponding editor,ProvincialFreeman,1854-01-20,1854-10-21
role,unattributed editor,ProvincialFreeman,1854-01-20,1854-06-10
role,editor,ProvincialFreeman,1854-01-20,1854-10-21
role,printer,ProvincialFreeman,1854-03-25,1856-03-01
role,publisher,ProvincialFreeman,1854-06-17,1855-06-30
role,publisher,ProvincialFreeman,1855-08-22,1857-09-20
role,editor,ProvincialFreeman,1855-08-22,1855-12-29
role,corresponding editor,ProvincialFreeman,1855-11-17,1856-01-19
role,proprietor,ProvincialFreeman,1856-02-18,1857-09-20
role,proprietor,ProvincialFreeman,1856-02-18,1857-09-20
role,proprietor,ProvincialFreeman,1856-02-18,1856-02-18
role,editor,ProvincialFreeman,1856-05-10,1857-09-20
role,editor,ProvincialFreeman,1856-05-10,1857-09-20
role,editor,ProvincialFreeman,1856-05-10,1857-09-20
role,editor,WeeklyAdvocate,1837-01-07,1837-02-25
role,printer,WeeklyAdvocate,1837-01-07,1837-02-25
role,publisher,WeeklyAdvocate,1837-01-07,1837-02-25
subject,slavery,DouglassMonthly,1859-01,1863-03
subject,general,FrankLesliesWeekly,1855-12-22,1865-12-31
subject,slavery,FrederickDouglassPaper,1851-06-26,1855-12-14
subject,slavery,FreedomsJournal,1827-03-16,1829-01-02
subject,women,GodeysLadysBook,1827-03-16,1865-12-31
subject,slavery,NationalAntiSlaveryStandard,1840-06-11,1865-12-31
subject,slavery,ProvincialFreeman,1853-03-24,1857-09-20
subject,slavery,TheChristianRecorder,1853-03-24,1857-09-20
subject,slavery,TheColoredAmerican,1837-03-04,1841-12-25
subject,slavery,TheLiberator,1831-01-01,1865-12-29
subject,suffrage,TheLily,1849-01-01,1856-12-15
subject,slavery,TheNationalEra,1847-01-07,1860-03-22
subject,slavery,TheNorthStar,1847-12-03,1851-04-17
subject,slavery,WeeklyAdvocate,1837-01-07,1837-02-25
race,black,DouglassMonthly,1859-01,1863-03
race,white,FrankLesliesWeekly,1855-12-22,1865-12-31
race,black,FrederickDouglassPaper,1851-06-26,1855-12-14
race,black,FreedomsJournal,1827-03-16,1829-01-02
race,white,GodeysLadysBook,1827-03-16,1865-12-31
race,white,NationalAntiSlaveryStandard,1840-06-11,1865-12-31
race,black,ProvincialFreeman,1853-03-24,1857-09-20
race,black,TheChristianRecorder,1853-03-24,1857-09-20
race,black,TheColoredAmerican,1837-03-04,1841-12-25
race,white,TheLiberator,1831-01-01,1865-12-29
race,white,TheLily,1849-01-01,1856-12-15
race,white,TheNationalEra,1847-01-07,1860-03-22
race,black,TheNorthStar,1847-12-03,1851-04-17
race,black,WeeklyAdvocate,1837-01-07,1837-02-25
location,rochester,DouglassMonthly,1859-01,1863-03
location,new york,FrankLesliesWeekly,1855-12-22,1865-12-31
location,rochester,FrederickDouglassPaper,1851-06-26,1855-12-14
location,new york,FreedomsJournal,1827-03-16,1829-01-02
location,philadelphia,GodeysLadysBook,1827-03-16,1865-12-31
location,new york,NationalAntiSlaveryStandard,1840-06-11,1865-12-31
location,ontario,ProvincialFreeman,1853-03-24,1857-09-20
location,philadelphia,TheChristianRecorder,1853-03-24,1857-09-20
location,new york,TheColoredAmerican,1837-03-04,1841-12-25
location,boston,TheLiberator,1831-01-01,1865-12-29
location,seneca falls,TheLily,1849-01-01,1853-07-15
location,mount vernon oh,TheLily,1854-01-02,1854-12-15
location,richmond in,TheLily,1855-01-01,1856-12-15
location,washington,TheNationalEra,1847-01-07,1860-03-22
location,rochester,TheNorthStar,1847-12-03,1851-04-17
location,new york,WeeklyAdvocate,1837-01-07,1837-02-25
title,DouglassMonthly,DouglassMonthly,1859-01,1863-03
title,FrankLesliesWeekly,FrankLesliesWeekly,1855-12-22,1865-12-31
title,FrederickDouglassPaper,FrederickDouglassPaper,1851-06-26,1855-12-14
title,FreedomsJournal,FreedomsJournal,1827-03-16,1829-01-02
title,GodeysLadysBook,GodeysLadysBook,1827-03-16,1865-12-31
title,NationalAntiSlaveryStandard,NationalAntiSlaveryStandard,1840-06-11,1865-12-31
title,ProvincialFreeman,ProvincialFreeman,1853-03-24,1857-09-20
title,TheChristianRecorder,TheChristianRecorder,1853-03-24,1857-09-20
title,TheColoredAmerican,TheColoredAmerican,1837-03-04,1841-12-25
title,TheLiberator,TheLiberator,1831-01-01,1865-12-29
title,TheLily,TheLily,1849-01-01,1856-12-15
title,TheNationalEra,TheNationalEra,1847-01-07,1860-03-22
title,TheNorthStar,TheNorthStar,1847-12-03,1851-04-17
title,WeeklyAdvocate,WeeklyAdvocate,1837-01-07,1837-02-25
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
