Name,x,y
Waters,22.3405,-92.9304
E. Spencer,24.43018,-89.53474
Gardiner,-17.613644,43.97448
M. W. Gibbes,-19.915022,45.532234
David Roach,-20.88547,43.56608
Daniel Jackson,-19.831017,43.76118
Wistars,-16.790356,49.749508
Thomas Green,-70.21466,27.963978
Simeon S. Jocelyn,-70.76803,29.184546
Kennedy,-52.169838,28.947681
James H. Wilson,-43.21816,-62.054493
Jacob Thomas,-43.544613,-71.60122
R. Taylor,-43.688732,-69.623436
F.L. Cordozo,-45.612556,-69.246284
Samuel Murray,-46.44656,-72.10059
T.A. Keen,-36.265957,-67.104195
William Liverse,17.648022,-36.993286
A. M. Ellsworth,24.397207,-33.535397
Osborn Anderson,46.465355,4.302481
W. H. Leeman,47.98995,3.3335435
Thomas F. Cary,46.57387,4.787217
A. J. Smith,46.23793,3.3125846
Munroe,45.74282,3.170578
Anderson,48.536926,50.84697
T. Wassan,81.31646,-2.0110388
Cheatham,88.47796,-3.9508073
R. L. Smith,47.882156,56.76756
W. E. Franction,59.810444,46.840652
W. H. Hathaway,56.238663,49.5514
A. B. Miller,44.78133,59.86524
A. G. Scott,49.804962,60.615074
G. T. Haynes,52.563984,52.6647
D. S. Ballard,47.94304,59.773792
Sam Flood,54.61663,56.46894
M. M. Rogers,48.922432,55.418392
G. H. Garnett,54.380165,52.4789
Dobbins,16.764523,-36.081398
Bennet Johnson,18.924314,-38.0209
W.H. Smallwood,18.767845,-37.69629
J. Fountain,-5.7458367,-27.387121
G. Weir,-3.5332942,-21.476742
Shelby,83.749565,-7.9816885
Peter Ledbetter,82.65209,-4.4858904
Gordon,-10.055777,75.01603
Birkenhead,-16.36424,-48.73455
Gerrit Smith,-11.937953,-59.98328
Henry M. Wilson,-15.36653,-49.397446
John N. Smith,-19.101345,-48.88767
William H. Day,-30.286402,-66.08639
F.L. Cordoza,-38.357414,-68.40293
James M. Scottron,-46.306404,-72.09497
S.G. Gould,-38.415367,-70.57786
R.H. Cain,-33.838223,-70.42769
William Howard,-41.805134,-72.94698
Martin,-42.64626,-62.704704
Wlliam Douglass,-39.237564,-68.20314
William Nesbitt,-37.17005,-67.80464
John P. Sampson,-36.99509,-69.16834
Frances Ellen Watkins Harper,-35.179253,-68.1571
J.A. Davis,-44.395676,-71.080315
J.H. Ingraham,-38.20555,-68.22141
W.H. Decker,-41.068676,-68.69905
P. W. Ray,-47.087128,-71.12308
D. N. Leathers,56.168976,52.5469
W. M. Mcdonald,54.628654,49.024277
A. Barber,58.37169,52.48831
L. R. Jones,48.97163,60.323093
J. T. Tibbett,46.601048,59.090294
W. H. Green,48.883358,61.302284
J. W. Jamison,47.130665,57.65081
Sadie Nelson,51.566658,52.748825
F. O. Richardson,53.547512,53.775955
G. M. Willis,-12.897552,-46.914925
Edward V. Clark,-61.680054,-4.8236794
Lancaster,-17.906025,-47.763474
John,42.241188,-45.48228
W. Cromwell,61.936523,-45.743725
Lowery,53.26011,-43.82323
H. G. Newsom,54.936596,-51.30872
Benjamin F. Butler,52.00248,-46.736816
J. W. Loguen,42.406403,-48.764393
John W. Simpson,-43.276943,-71.9912
Isaac J. Dickson,-18.310154,47.25637
Franklin,-3.514421,-59.43249
Joseph Popel,-17.630344,48.30368
Whipper,-73.55927,26.088953
Aid-De-Camp,-62.396214,21.149248
J. M. Langston,-30.398172,-66.119446
Wm. Joeson,-13.993579,-47.421513
Boombo,-14.487305,-45.72284
Kent,-11.196897,-60.20058
Lawrence W. Miner,0.33318132,-62.295025
Henderson Davis,-48.471863,68.86023
Elimus P. Rogers,-46.929504,54.37865
John P. Anthony,-55.461327,-28.71715
F. G. Murray,-45.85246,-30.352707
Francis Dana,-55.765747,-29.384823
Andrew Grant,-44.361473,-29.781765
J. Morgan,-43.01323,-31.303627
Theodore S. Wright,-55.724636,-29.223497
Edward M. Africanus,-39.749256,-25.562782
N. Thatcher,-17.740906,21.049837
Peter Osborn,-63.14576,24.366783
A. Washington,-52.992893,-25.59001
John Watson,-40.154213,-32.561363
Pike,-9.000478,-62.815582
Brown,-11.250736,-60.91631
Thomas M. Stringer,44.779083,3.6211839
J. W. James,68.187996,-37.223103
Francis Simpson,-31.249405,-21.886337
Henry Thompson,-61.199696,18.54175
Lloyd Garrison,-71.55155,28.13741
J. C. Morel,-53.956383,24.114208
C. Mathews,-59.57388,27.365698
H. Foster,-62.995934,24.336473
Amos G. Beman,-58.919937,-8.222864
J H Davis,-48.21837,-3.965116
Garnett,53.616386,46.552025
Green Prince,55.267406,52.628212
John Turner,-16.362406,19.144094
Leonard Black,-18.74501,20.598913
H W Johnson,-43.835957,-1.7028098
L. Collins,-56.06989,-1.1209463
Sarah Harris,-14.39408,24.174168
Christ,43.67291,-46.7776
Malvin,-9.324758,-30.967821
John Malvin,-32.046627,-66.762215
Andrew B. Slater,-42.68529,-70.27089
W. C. Monroe,-11.486642,-47.474937
Isaac Cross,-63.404617,-2.2450638
R. C. Huntington,-20.047686,18.41079
J. Emery Burr,-19.598152,20.860409
Amos C. Beman,-13.690193,24.731714
L. C. Beman,-18.805082,18.831005
James L. Smith,-18.1363,21.258202
Dudlop,8.254593,80.43187
E. Halton,9.814576,78.79922
John Dutton,-37.098526,28.827307
Shedrich Basset,-41.16904,29.5721
William James,-37.404255,29.085423
Robert Johnson,77.41678,-2.5926366
Abraham Price,90.88378,-4.081343
Charles B. Ray,-58.966507,-27.549906
Tompkins,-26.444761,-2.5982833
Edward A. Clark,-13.893719,71.194954
Solana,-14.543421,71.13664
Patrick Henry,-16.44378,80.90144
P. Killingworth,-14.207808,71.71735
W.H. Hall,-16.911676,75.880775
W. Lee,-17.006033,76.87313
Shorter,-16.878317,77.05368
Ward,13.8096695,86.56668
Mcdougall,-4.8558955,78.14667
James R. Starkey,-3.6862807,78.45616
John P. St. John,28.219397,-9.106064
Butler,-49.778244,37.651905
J. P. Miller,84.03153,-2.3883784
J. H. Salor,86.73158,-4.873715
Giles,85.784004,-2.715661
Shaw George Haden,83.69383,-4.6988406
Society Of The North,79.34725,-4.1015553
D. L. Lapsley,87.49944,-4.131361
A. L. Carr,91.354164,-4.418254
Sloss,85.200645,-3.4082391
U. Lett,-7.08758,-27.203762
Uriah Lett,-5.5731378,-25.609116
Wright,-45.3343,-60.70434
Henry H. Garnet,-60.179256,-28.608303
Patrick H. Reason,-58.478657,-27.969997
Pelman M. Williams,-20.114115,20.709213
Wm. Blackstone,-16.03615,22.498924
George L. Williams,-15.424834,25.537266
H. Nott,-20.704567,18.326075
Jehiel C. Beman,-63.156044,-2.6262262
John Milton,-19.86241,18.95068
Levin Smith,-19.944643,21.087524
Uriah W. R. Pelham,-14.2736435,24.797853
Charles Hubbard,-20.643856,19.936367
Wm. W. Ellsworth,-16.529293,23.746037
E. C. Freeman,-14.604356,23.378399
Perry Davis,-17.725786,20.662334
T. Downing,-42.90751,-62.262127
R. Cobden,-16.417255,-50.10736
Peter H. Clarke,-13.451932,-47.933727
Fugitive Bill,-20.605686,-50.75266
Norman,1.9991106,-65.85207
John Cockrill,80.87345,-1.1374706
John Mcgowan,91.39938,-5.0790396
James Parker,68.10919,18.417538
Cumins,69.53184,18.945425
Joshua Woodland,-48.433067,54.65355
Henry A. Thompson,-65.03036,-2.5877135
Ellsworth,-18.96039,20.292206
Middleton,-15.337912,24.049715
Charles Williams,-13.377064,22.771854
Anderson Flinn,7.5821557,-60.63295
W. B. Ferguson,7.741751,-58.89249
Charles A Yancy,7.4220877,-60.40904
M. G. Gaston,58.888077,47.38418
G. W. Bryant,51.07508,57.122757
Kaufman,51.412273,55.424347
J. R. Shonon,56.73144,52.736706
John Debruhl,54.74806,53.742096
Wiley,45.00157,60.61579
N. W. Scott,48.13576,58.147526
J. B. Raynor,45.69197,61.56512
F. L. Kealan,53.47694,59.01434
John Franks,59.422104,47.346813
F. Tanner,13.23617,-3.4804778
Garfield,13.90154,-2.9509063
Ebenezer D. Bassett,-38.083275,-68.68671
D.P. Seaton,-36.42983,-67.93593
R.D. Beckley,-44.795612,-71.82137
Seward,-31.587927,-66.56421
Roberts,45.535072,-46.16353
John G. Palfrey,12.100813,-58.037373
W. W. Johnson,11.830044,-59.12076
A.T. Jordain,0.3353112,-4.469889
Randolph,-71.360596,-9.984941
F. Douglass,-43.844807,-59.931023
A. J. Gorden,-6.574668,-26.5677
W.C. Munro,-7.3849487,-29.819641
Dod,-9.530133,-26.287771
A. Smith,45.096554,24.70678
Harris,22.460278,-20.38991
Edmonia Highgate,-36.80022,-67.91266
S. D. Wheeler,92.70331,20.696249
J. Williamson,93.20588,21.951391
S. J. Harris,95.356,22.755634
J. Bass,95.78883,23.450441
J. C. Cary,94.53868,21.119123
A. W. Carter,93.95619,20.68752
Henry O'Connor,95.756134,23.72611
D. Lawrence,93.82775,22.386786
A. Clark,92.37917,19.93572
P. C,55.30991,-50.237106
W.H. Mcalpine,54.54365,-42.49659
Wm. R. Lawton,57.595596,-43.071106
Robert Harlan,55.728245,-41.380722
Rufus H. Darby,65.18408,-40.51362
Archie,66.361374,-35.854492
T. W. Lott,54.96268,-43.020805
T. A. Sykes,65.30523,-42.72172
Thomas Richardson,56.27127,-48.18991
J. R. Lynch,64.42006,-39.01108
Woolsey,22.92425,-4.3845806
W. Keats,23.238256,-5.388867
J. L. Sweres,18.998915,-4.1144133
G.H. Clark,23.894688,-5.097782
A. V. Cooper,23.471865,-5.2816052
Wade,24.125166,-5.038474
O'Connell,-37.791607,-58.583656
E. J. Adams,-78.79097,-4.304582
Gray,-65.597374,-2.0379508
Elizabeth Armstrong,-76.54708,-2.4170136
Basil Macal,-73.194046,-3.755302
Samuel T. Gray,-65.0942,-2.6145413
Joseph B. Smith,-78.17342,-3.3886116
Charles H. Bustill,-77.56147,-3.5960236
James Presser,-70.67114,-4.3270493
Charles L. Williams,-79.84368,-2.5680242
Leo,-73.9304,-1.7435839
Belfast Burton,-53.794598,29.870441
Daniel D. Brownhill,-36.873554,29.042906
Abraham Williams,-67.14132,27.837303
Hinton,-73.38465,28.028372
Henrv Slpkins,-54.37676,30.12568
Morris Anderson,-54.0277,29.112501
Frederick A. Hinton,-74.862976,27.870998
Junius C. Morel,-71.74584,25.48737
Constantin,-25.966805,-18.77571
Nicholas Hemous,-28.135492,-18.255825
P. Powell,-29.160624,-20.673994
R. P. G. Wright,-56.072376,-29.329096
John M. Dolan,-44.783966,-30.529787
Bro,-48.852024,-28.178999
D. Scott,-39.24534,-26.746613
T. Harley,-48.445053,-27.973623
Wm. H. Parker,-43.8734,-28.613586
John Van Huesen,-48.085682,-27.75639
Stephen A. Douglas,-2.4978523,-6.916441
Robert Morris,-61.580597,-5.1617746
J.J. Simonds,-5.082686,-2.9825623
E. H. Mathews,-6.9068756,-3.3086998
Mccune Smith,-74.13111,-6.8290615
Bowers,-69.30646,-0.5807526
David B. Bowser,-4.524136,47.43316
Forten,-20.082703,46.220276
Emmet,-18.248367,71.7363
Peter Killingworth,-16.782187,74.55254
Simmons,46.599434,-46.03941
H. Walker,56.114727,-40.290752
Sam,8.556392,71.081535
Thomas Watkins,-44.178726,60.054943
John Williams,-49.953564,60.985775
Lea,-48.498848,66.03037
John Mentin,-44.555622,56.869656
Joseph Agness,-48.17707,68.666664
Daniel Yates,-44.0656,59.950535
Anthony Campbell,-50.476116,56.836506
Malone,95.31358,22.725945
Y. E. Anderson,94.06813,23.099154
G. Reece,95.41528,22.262007
Attorney-General Of The State,92.92549,21.308554
J. D. Walker,94.336754,22.62272
Alex. Clark,95.20909,23.272667
J. D. Waterford,94.98081,21.6423
S. Nichols,93.38952,20.913748
Sam Lowery,79.68922,-2.5385108
Abraham Lincoln,61.00121,-32.467766
F. B. S. Pinchback,59.623592,-39.435448
J. J. Bird,58.76544,-42.890434
S. Lowry,54.596245,-46.64236
M. E. Church,64.65769,-38.870003
H. H. Garnett,42.694984,-45.34751
Clinton,42.910686,-45.192753
G. Phelps,93.13273,20.618565
D. Mathews,10.478983,15.968481
Henderson,-41.133396,-1.046966
A. C. Wilder,9.760197,16.248108
Lilburn Drake,10.376599,15.757196
James H. Lane,10.271839,15.647327
J. H. Morris,3.5653784,76.16919
Isaac Triplet,-6.4439983,77.891
Smallwood,-4.3039064,78.53005
Jefferson,48.954544,50.734966
D. B. Bowser,-20.200949,-45.677555
Abraham J. Morrison,-41.258587,-66.61882
John M. Langston,-31.682465,-66.63357
George W. Roots,11.532541,-60.470577
Calaveras-James Cefos,-14.566525,74.097435
Ruggles,14.3692875,86.65284
Walton,-15.089871,74.14779
R. Mcgaines,-15.557087,74.47756
Aaron L. Jackson,-14.262851,72.75762
J. W. Williams,-23.395903,-2.0252535
Francis Douge,-22.7214,-2.87313
J. P. Johnson,-18.909197,-3.7862072
James M. Williams,-58.24885,-2.3076866
E. J. Marsh,-72.26358,-4.805905
C. B. Ray,-59.263348,-27.290247
J. A. Jackson,8.255181,-2.9990537
J. W. C. Pennington,-60.616264,-7.266948
L. Remond,-59.41022,-6.112957
L.H. Brooks,-2.392136,-4.706777
Mclain,-14.283832,-45.45822
David H. Jackson,-19.184391,-48.24613
W. H. Day,-10.480031,-60.933178
Baldwin,-4.8073545,-62.955284
Jenkins,-10.311978,-58.97381
Evan Lewis,-68.27501,28.319197
Samuel Johnson,-60.7379,27.616684
W.H. Johnson,-34.90379,-67.17347
William P. Newman,-43.990437,-69.466484
Uncle Robert,-6.8994374,-3.064311
U. C. Farlen,-3.3765326,-3.6699748
Joseph Smith,-4.495785,-2.0995665
Greene,-12.783443,-56.37414
Henry Williams,-55.112816,-28.265877
John Jay,-41.747444,-28.506039
F. Thompson,-56.099472,-29.51653
Wm. Butler,79.72317,-1.8881794
Townsend,15.091091,88.71351
Wm. R. Thompson,-43.798004,-27.643734
Uriah Boston,-56.923836,-27.102516
Kelly,-73.98532,-7.4047017
William Parker,-82.43123,-0.9657983
Robert Douglass,-70.41783,24.920397
K. A. Hinton,-58.512905,28.21237
Aaron Roberts,-56.976227,28.964104
Philip A. Bell,-49.929768,37.054047
Jacob Madden,-15.371386,74.56577
Thomas Gray,-28.32246,-21.262262
Alexander Welch,-26.228922,-19.27809
William Jackson,-61.232258,-8.890956
Littleton Hubert,-44.19666,59.37912
James,-71.361565,-9.945888
Thomas Charnock,-74.82885,-2.1241324
Wm. T. Catts,-75.78969,-3.4707153
Peter A. Bell,-70.66848,-4.0641475
C. S. Hodges,-78.697876,-3.1554453
F. T. Newsome,-15.166305,-49.765083
Cobden,-13.514618,-46.197716
William Whipper,-74.08375,25.604216
Thomas L. Jinnings,-64.92082,27.202877
Somersett,-16.943756,45.357765
J. Mclean,43.908123,25.792551
H.F. Stanton,42.8745,27.121925
F. Degroat,43.23616,27.95853
E. H. Anderson,64.409805,-42.01896
H. Rainey,57.77368,-42.875305
J. T. Jenifer,52.87304,-45.7459
P.B.S. Pinchback,62.184986,-43.020256
Maggie Porter,59.020523,-43.767998
J.R. Caswell,19.537994,-15.00743
Rue,19.128374,-16.066051
Isaac Sweet,19.19649,-13.835163
J.P. Shooks,19.47043,-15.672523
Ruger,19.459112,-15.257074
James Lewis,47.004665,-48.880905
C. Wright,0.7208867,48.267056
J.C. White,3.3422468,44.99548
J.C. Ware,23.012362,5.949294
Daniel O ' Connell,63.2887,-38.763363
J. J. Bruce,56.032364,-51.207012
J. H. Wood,51.65401,-49.13591
Stephens,53.71049,-40.669327
P. C. Murphv,65.973175,-37.671093
A. J. Nixon,64.03852,-41.019436
Noah,66.76948,-34.83715
Calhoun,40.750423,-20.436798
Dolerson,37.31614,-16.95871
John F. Cook,16.098736,-3.3682795
Solomon G. Brown,21.535004,-2.9374132
D.W. Anderson,16.801079,-3.5099087
Charles H. Lanston,17.45346,-1.6633383
Charles Sumner,86.74247,-7.6682887
Sumner,41.939304,-49.22535
J.T. Jenifer,60.826485,-46.411034
John A. Clay,56.50611,-43.709904
C. V. Wiley,64.91259,-41.351154
J. S. Ward,8.575272,-58.93621
Hinton Coles,6.6616488,-61.230297
Taylor,-7.767548,-64.12692
Huston,23.526478,-92.43079
Niles,-25.29463,-3.8735533
James Morris Williams,-25.139603,-1.8133564
Cutler,-23.212978,-2.7848947
Seth,-54.891174,-5.7665596
W.W. Brown,-44.4846,-60.133327
Fred ' K Douglass,-38.857014,-66.987885
Samuel F. Murray,-43.43524,-73.95671
James Schemeohorn,-36.36873,-68.43557
Horatio N. Rankin,-35.00962,-66.33998
E.D. Bassett,-38.1109,-70.49454
W. H. Harper,17.24474,86.667114
Washington,4.655951,79.11573
David Barnett,10.594734,-61.02996
L. D. Taylor,-9.025045,-62.7981
William Curtis Noyes,0.37825695,-66.24244
Charles A. Yancy Esq.,3.7510054,-63.828762
C. A. Yancy,-8.908065,-62.79475
W. Copeland,-1.6539212,-69.39854
J. Archer,12.482873,-57.996418
Scott,-16.476316,81.05935
H. C. Hayden,5.804032,26.577639
George Cunningham,3.8373475,25.965332
Bradley,3.6839314,25.19165
Jackson Johnson,5.011966,27.0713
George Bradley,4.3898983,27.488556
William L. Smith,5.1636662,26.727224
Edward Murray,5.6062613,26.935316
Andy Johnson,3.9356775,26.68491
Edward Hill,4.1842046,24.340502
John Anderson,4.4179316,26.327589
J. C. Smith,46.378178,59.176243
William Mcdonald,47.9177,60.919163
T. S. Benson,48.725334,59.71626
A. A. Simms,56.884743,50.27265
J. H. Collins,56.776833,50.881016
D. W. Wilson,51.255875,56.13721
A. A. Asbery,54.21817,58.34603
N. H. Smith,58.04554,51.409443
L. Black,-17.010828,21.157726
Oliver Ellsworth,-19.51959,19.052134
Sam ` L. T. Gray,-18.191069,21.010353
Griffin Griffins,-44.553463,-2.890502
R. D. Kenny,-58.891235,-6.419163
Francis J. Peck,-42.744556,-69.37632
Davis D. Turner,-43.158356,-62.274715
A. Dempsey,3.2445514,-69.70617
Scurry,0.38755232,-69.81775
D. S. Moss,-2.5570648,-69.764084
Gee,2.0324883,-71.623825
Samuel Jefferson,-40.28169,-29.089228
N. H. Simons,-44.69585,-27.168394
A. Crummell,-57.852673,-27.745045
Lee,-44.59228,-60.878666
W. C. Cole,52.096157,54.72232
J. H. Bandy,51.367737,58.357857
T. W. Williams,46.85054,58.1149
Grimes,47.11738,53.654392
L. L. Campbell,46.24725,59.3236
Harrison,47.412174,52.911617
George Johnson,-58.272625,23.206818
John Peck,-73.80276,24.920296
Henry Harris,-28.8518,-20.866594
George Mott,-24.320414,-17.226025
William P. Powell,-31.930664,-23.36924
Troy,-52.914345,-23.577772
Thomas Van Brankes,-44.26593,-30.342896
D. H. Ray,-38.880173,-27.177227
Armstrong Archer,-54.4787,-28.348516
Clarence P. Seldon,-54.00961,-28.6985
U. Boston,-55.119247,-28.948004
Justin Holland,-3.5186863,-70.12664
John L. Watson,7.1531615,-41.56219
Lightfoot,7.4388304,-39.305164
Frederick Douglas,8.124899,-40.656834
Henry Bibb,52.311954,-40.12649
Israel Campbell,42.13734,23.42979
Fisher,43.231583,23.498398
M R Delaney,42.013687,26.753052
David Hollins,41.974415,23.969566
Scoble,42.079838,22.939913
Cowley,-71.99091,28.319859
William Duncan,-53.781372,29.03334
Garrison,-73.85345,25.992777
Byrd Parker,-14.465324,-52.813496
Horace Greeley5,16.579813,-35.631985
Galena,19.074678,-34.784225
H. Brown,17.55,-35.455578
Lewis Tappan,18.124334,-36.464756
H. Ellsworth,18.576443,-35.783875
R. L. Cooper,20.956066,-36.481636
Morris Henderson,86.500244,-8.217347
William W. Ruby,-39.909973,-69.69458
D. Miller,-33.509575,-70.70288
Matthews,22.932253,9.026907
W.B. Forten,24.13272,6.080577
James Holland,-46.237305,68.16555
Kennady,-43.839417,62.64457
N. Jersey,-42.681007,61.13503
Owen T.B. Nicken,-46.9111,25.151363
Henry Brown,-44.51216,29.479006
Hutchins,-37.748093,27.172737
Benjamin Wilson,-41.097343,26.240667
H. Henson,44.52492,25.086472
H. H.,-25.399988,-16.903334
James Jackson,-30.674381,-20.655725
John Potter,-58.150368,27.374052
Paul Drayton,-50.50427,27.677803
Charles Butler,-70.95404,28.44487
Isaac Carey,-65.69399,28.096388
Isaac Whipper,-67.03134,28.270884
Joseph Cassey,-71.502396,24.93106
Leonard Collins,-56.064735,-1.135209
William Spellman,-19.345242,18.724968
Charles Langston,3.6043527,-60.59056
Douglas,8.873283,-58.14893
D. E. James,9.34261,-57.850994
J. T. Ward,-3.4638667,-63.95565
Bowser,-4.9122653,47.433014
Nelson H. Turpen,-15.047788,48.0138
P.N. Judah,-44.736664,-72.60913
Samuel H. Amos,-77.291435,-4.559773
Edward Galpin,-65.07059,-2.603391
Jacob Coggswell,-16.26195,23.108631
Adam Ray,-67.83222,27.714577
Hosea Reiston,-49.585106,28.768057
Henry Thomson,-50.70356,28.25585
King Boombo,-19.478693,-49.338917
J.C. Bustill,3.4750388,45.057175
J.S. Graham,2.2718956,48.26727
J.M. White,-0.31682307,47.75501
Benj,-48.73316,53.795334
Joseph Bell,-6.9832706,-3.9481254
Jacob Schemerhorn,-4.9798303,-2.412322
J. J. Simons,-75.12415,-6.009704
Beman,-58.95722,-8.153553
B. Ray,-57.404613,-5.920474
Posey,-13.092234,25.539366
G. W. Evans,-2.805617,-70.13535
D. P. Seaton,-38.278385,-71.55777
Paschal B. Randolph,-37.592983,-68.284775
Afric,-41.13119,-71.89812
P.W. Ray,-44.32486,-73.70238
Milliken,-35.01969,-68.96148
Benjamin F. Hughes,-37.989834,27.159029
Elizur Wright,-41.89524,26.7007
Robert C. Gordon,-40.781536,27.452547
Owen T. B Nicken,-38.320366,27.182901
Peter Gardner,-47.730774,27.968077
Robt,46.485947,-45.6381
F. L. Barnett,65.69349,-43.058968
John Garnett,57.05244,-42.214153
R.R. Wright,63.234562,-36.641712
Samuel R. Ward,49.371063,-46.37551
Rich,-49.72531,-6.6193643
W. W. Mathews,0.11958116,2.2278807
J. W. Duffins,-0.4493476,2.0154715
Charles Paine Lansinburgh,2.0761666,1.8217475
Loguen,46.36234,5.6253433
James Baker,45.902927,23.682848
J. Lisle,41.307938,26.64337
J. M. Smith,66.87086,-42.697887
Williams,45.692543,-46.171246
A. R. Green,-10.898543,-59.33637
K. Artis,2.0807893,-70.82893
M. Jones,3.537818,-70.082466
John Gee,3.132015,-69.53553
L. Adams,0.43529797,-70.80013
Wm. H. Burnham,-2.2962508,-67.25551
W. F. Johnson,-22.134497,-3.1854198
Jackson,33.695568,-23.532673
Dushani,-18.337315,-50.230877
Booress,-16.963795,-50.61227
Stephen Myres,-17.374214,-53.746456
Eben,23.359793,-92.99947
Abram W. Niles,23.699379,-93.51703
Pledger,54.512383,-43.194843
G. W. Gentry,50.473305,-49.033394
Payne,53.772514,-46.052868
W. H. Nichol,60.762558,-39.479874
Cromwell,59.711956,-39.465343
Daniel Benedict,58.55639,-40.088577
R. Nicholas,64.96589,-36.025276
H. D. Alexander,51.84035,-49.6675
A. Burgeois,67.060524,-37.246853
Gen Hartranft,19.259447,-4.221147
S. A. Neale,22.40561,-5.372171
D. N. White,22.14717,-5.0535355
Greeley,19.618078,-16.879625
J. H. S. Parker,48.69353,-50.39893
Daniel Wadkins,48.970463,-50.448383
St. Paul,64.343025,-45.727886
Pastorious,51.167133,-47.617256
George W. Perkins,55.231045,-49.923164
Joseph G. Agness,-49.338665,68.40645
D. Mahony,-45.218025,59.06352
James Clark,-46.71503,64.534134
James Butler,12.244948,89.42218
Smith,53.778526,46.505543
Isaac Hornbeck,-30.505514,-22.255644
Peter Wandell,-30.080294,-20.526064
Albert Brown,-28.506079,-19.63317
Ezekiel George,-55.0984,-29.06007
Jacob W. Glasgow,-80.66723,-2.6523526
Augustus Dorsey,-79.62847,-2.722955
