label,x_val,y_val
Joseph Bell,-38.364,4.62821
Pears,-9.35392,10.5075
George Reily,-53.4167,0.228112
E. Mitchell,-1.31979,26.7842
A. Bryan,-23.2895,-38.6153
William Quinn,36.4853,38.9137
F. G. Barbadoes,32.312,43.8379
Hiram Wilson,-5.54983,-13.0275
Benj Wheeden,-55.9084,-0.725054
G.H. Clark,-7.88983,-55.0208
J. W Loguen,-9.01945,-30.5525
William Whipper,-11.3763,60.0627
James L. Smith,-57.6593,24.7659
J. W. Jamison,16.2243,18.6325
P. T. Herbert,26.7185,50.0748
John Henry,-3.03864,-55.2689
E. Kelly,-29.5094,13.568
Brooks,36.5503,38.3118
James W. C. Pennington,-1.26165,53.337
Francis Lewis,-2.60162,-58.0633
1867.OH-01.16.CINC.txt,24.2078,-57.9464
Charles S. Morton,-37.7298,-25.153
Kay,-7.28743,-47.0956
Peter Hornbeck,-39.2613,5.52453
Thomas Channock,-4.07208,69.5578
Turner Roberts,-0.580513,-59.4236
Mcdonough,-8.6227,-30.5631
Baas,12.5771,-28.0258
J. Lott,24.1044,-43.572
D. Hart,27.7055,-46.6364
Evan Jones,-36.4428,34.9631
Thomas Duff,54.266,30.8384
Brewer,-9.0581,48.019
J. J. G. Bias,-26.8427,33.8165
Whipple,11.2216,38.7842
J. W. Hughes,41.0987,-14.1122
James H. Henderson,-58.533,-13.4927
Joseph Warren,25.2661,-59.9603
Helena,38.8883,-14.8886
A. Morris,5.17675,-80.0279
Barguet,11.8792,-12.4546
Bowser,-14.6906,29.8143
Jacob Brown,-52.5409,-20.1648
Willis A Hodges,-56.9987,-1.00337
J. Anderson,-3.7099,-17.9176
Leonard Scott,-9.19939,62.46
A. Barrett,26.6194,-61.2159
Edward M. Africanus,-42.9465,-32.1245
John J. Gaines,-9.47973,11.0549
M. W. Lawson,16.7572,17.4401
Henry Watson,-56.3716,2.79078
C. Willis,-23.2207,56.7299
B. Allen,18.134,-4.80192
R. Drake,4.51422,-81.4383
Ed,30.2042,42.8168
Cha,34.6865,-54.2872
J. W. H. Peyton,66.5907,0.694748
W. H. Bentley,45.8554,-20.0569
G. W. Bryant,16.1756,21.4799
S. A. Neale,-3.05936,-55.2361
Alf,65.8876,2.53411
Samuel Murray,-23.2475,-41.7137
Robert M. Adger,-0.465033,26.5127
Henry Highland Garnet,-50.798,-0.214513
C. Braboy,37.8722,-20.6036
W. T. Brown,16.55,18.8743
G. Laws,-4.37547,69.5594
Richard Hall,52.5148,30.8445
Emory Waters,51.3647,27.8132
Owen T. B Nicken,-9.36065,47.9764
A. D. Shad,-22.2209,55.3673
C.A. Chaplin,-1.39838,27.1231
William H. Coleman,11.6055,-26.4339
Mccune Smith,-34.4375,9.20225
J. T. Tibbett,17.0745,21.0606
Christophe,41.2894,-20.2982
Amos A. Freeman,-8.93564,-30.9718
E. Vermont,5.9849,-50.3363
G. W. Gentry,39.0971,-24.3366
B. Crider,2.51095,-54.885
Grayton S. Nelson,-29.4536,13.2195
Thomas Buller,-16.5301,-63.073
F. J. Vosburgh,53.1529,29.3572
James P. Johnson,-38.2709,-7.82564
Sharon,47.0836,-38.1302
M. Brown,-7.28505,-47.1119
Lewis Hayden,-23.5175,-0.986331
Thomas Jefferson,-52.5375,-20.1636
Edgar,10.8712,-12.7145
Theodore Dwight,-56.2547,25.8556
Isaac Hornbeck,-59.1069,-18.4017
J.W. Duffin,-28.2077,-21.196
Wm. Brogden,17.0334,69.6459
E.D. Basset,-22.4265,-40.5813
R. Harlan,38.027,-19.3215
J. H. Clay,44.8187,-18.5563
Gates,13.0159,-27.7083
Pierre,2.92894,0.721235
A. G. Ferr,44.1148,-20.0137
Wiley Gevens,37.7216,12.8986
A. R. Trotter,65.1124,0.93843
N. B. Vidal,-55.2488,0.368364
George A. Spywood,-55.6695,23.4071
Benjamin F. Pulpress,-1.97265,26.0594
Thomas Jackson,-55.7043,-19.1008
Charles W. Dennison,-19.0898,-3.04987
N. H. Simons,-45.0522,-31.1796
Coleman,11.9549,-26.7843
Francis Daniel Pastorious,41.4749,-18.8005
William E. Welch,-0.277548,27.3961
Henry Frisby,1.61636,56.5191
John C. Scarlett,-9.06147,49.7421
Edward Galpin,-34.9611,16.8026
1863.NY-07.16.POUG.txt,-22.8724,-45.7301
P. Killingworth,26.8385,46.6008
L.W. Cummins,43.7871,-18.131
Charles H. Leveck,-7.54124,66.8119
Harrison Mcdowell,47.6912,1.96818
George Le Verre,-29.0224,16.1191
Nels Allerson,20.4555,16.2706
Alex. Thuey,-56.5784,0.0597187
J.W. Loguen,-30.5839,-35.9148
Robert Cowley,-7.76193,65.2365
S. Myers,-43.308,-16.8748
John W. Stephenson,18.1421,69.1046
Jacob See,36.3769,13.1993
H.W. Johnson,-26.525,-43.2115
Jane R. Fortie,51.9533,30.8508
Henry Calvin,47.9157,-37.9569
Charles H. Vance,-0.138051,26.359
Pythagoras,46.7628,-39.0271
John Buckner,54.1871,26.0992
Benjamin Templeton,-11.6018,10.1184
Moses,49.473,26.6925
A. N. C. Williams,45.0684,-18.048
W. Nighten,-0.461667,28.5447
Pennington,-4.75945,50.503
Frederick Douglas,17.7381,-40.0509
James Johnson,-59.9424,-20.2989
1857.CA-10.20.SANF.txt,-8.90972,-54.2135
H. Lights,15.967,21.4483
H. O'Conner,-2.22214,-70.1069
Sexton,-41.4366,-27.2876
E. P. Talbot,-7.02274,-47.0322
Moses A. Jackson,-56.1639,-1.63265
Samuel Streeter,-42.9408,-31.6172
S. Griffith,40.748,-19.2278
1865.IN-10.24.INDI.txt,1.63907,-59.1024
J. Kelley,18.842,-5.75415
J. Montgomery,6.64726,-63.2709
J. P. Jackson,-24.2472,-17.7784
Rich,-38.0585,0.141722
Turpin,-15.7479,35.792
A. W. Jackson,15.0393,-9.04792
Charles Marriott,1.58021,59.0136
Charles W. Gardner,-14.7656,61.8108
William Parker,-26.5584,17.5054
James Cook,1.54761,0.400159
H. H.Thompson,37.4409,-20.1789
Floyd,2.42072,-54.8319
George Price,64.3966,0.0136482
Wm. Johnson,-33.8401,29.8103
A. T. Hall,12.603,-13.1327
Moses Worthington,-35.0365,35.7782
Lucius,54.4203,28.0576
Islambi,-8.85487,9.368
Eccles,40.8421,-22.0932
C.B. Ray,-33.5486,-20.8508
Edward M. Davis,-17.7851,33.244
John T. Hilton,1.26874,-37.11
Small,25.1366,49.3914
John Mercer Lingston,31.34,-1.7787
J. P. Miller,64.1331,0.443303
Abraham J. Morrison,-22.2213,-41.6959
H. Highland Garnet,-44.4137,-32.608
Scipio C. Augustus,-12.0519,64.6092
Lyon,-7.40054,10.8144
Joseph Reeves,-29.1073,15.8761
Nestor P. Freeman,1.38922,-37.1165
B. S. Anderson,-23.816,-18.1949
F. Harris,-16.6204,-62.7756
Henry Clay,-32.0008,-6.64447
Fugitive Bill,-10.8602,10.861
Peyton Harris,-50.9374,-0.152417
J. W. Delany,26.4945,-45.7053
William Hardy,46.7142,-37.9049
J. R. Bryant,-8.58849,-63.8618
H. S. Merriman,-58.1123,24.3569
William A. K. Smith,-29.2468,15.6229
William H. Brown,1.17061,-37.3599
H. P. Harris,-22.2191,-42.7804
R. L. Kilpatrick,14.334,18.0384
S. B. Wilson,20.9332,17.5388
A. Steward,-39.3335,-21.2899
Leonard S. Grimes,-29.7151,16.8463
Samuel Blackwell,18.1259,68.9351
J. R. Gibson,15.7097,17.4029
Thomas Goode,18.6176,-52.8769
James T. Francis,-7.23115,-47.0047
M. J. Brown,54.2615,28.1837
Daniel Benedict,35.9242,-16.2509
E. K. Phelps,51.9675,29.1423
William J. Harin,32.4181,35.091
H. Langston,23.0315,-55.6489
W. L. Barnes,14.9687,-9.05068
Allen,-19.2786,-1.11656
Charles W. Nighten,-0.630365,25.4364
John F. Willams,-28.0366,14.5547
Washington Hunt,-34.6304,-8.02971
L. L. Campbell,18.4282,17.9039
Wm. Begget,-56.3539,-19.1006
T. W. Williams,17.3748,13.2717
J. Halsey,64.6739,1.62911
Baltimore Sun,-16.6746,-62.89
A. Crummell,-43.8079,-19.2542
J. H. Hubbard,26.2709,48.2373
Thomas Cole,3.33674,1.129
Dennett,-9.23178,8.96448
Abram Stanley,-56.1704,-18.6721
J.L. Lyons,31.6168,-0.862584
Jonas W. Clark,1.14238,-37.4275
Alex Webb,63.874,2.54309
A. J. Nixon,43.8123,-15.7153
W. H. Channing,-9.62977,8.92946
Amos G. Beman,-55.749,19.7574
H. C. Binford,41.6761,-17.273
J. Ware,-14.9681,33.4675
Allan Allensworth,43.7236,-19.8121
Charles Morton,-19.817,54.7327
Rev A. N. Freeman,3.35806,1.66681
Justin Holland,24.089,-43.5555
A. L. Jackson,26.2362,47.3487
J. G. Baugh,42.5707,-21.9142
Charles Z. Lincoln,-37.5714,-7.93249
H.J. Brown,-21.7048,-39.5074
Wm. P. Mcintrye,-57.093,2.8122
Harlan,34.9187,-23.5307
Henry Lucas,18.5106,-52.3783
Taylor Miller,38.6885,-18.5566
F.P. Lapierre,-24.4402,-41.0258
Robert Cox,17.7265,70.025
Margaret Mosby,38.0411,12.7508
Z. Purnell,-32.4018,35.1558
G. W. Guess,16.3653,19.1174
J.W.C. Pennington,-21.099,-37.0778
H. Hicks,-37.8845,-7.56123
Plato,48.6815,-39.2286
R. A. Hall,31.5015,46.6085
Robert D. Stewart,0.495988,-52.4325
H.A. Thompson,-57.3692,26.0288
Wm. Rich,-37.8401,-1.1352
J W. Loguen,-11.1394,11.243
W. J. Greenly,2.45818,-54.9891
A. Yancy,27.2847,-52.3605
J. B. Johnson,55.4678,29.3719
1895.TX-05.23.HOUS.txt,21.6098,16.1422
Abijah Gould,17.5302,69.5092
Lawrence,47.0846,30.0222
Uriah Boston,-40.7576,-19.7209
Peter Van De Zee New Baltimore,-38.078,4.38376
Payne,48.5955,-12.7846
C. Pierre,4.52534,1.51643
Isaac Morton,32.9188,34.0056
William Lambert,-3.70737,-17.9208
C. W. Ellis,18.6732,-5.56141
Alfred Gordon,67.507,2.8997
J. H. Thomason,42.4259,-19.1811
A.W. Wayman,-1.5086,-50.2319
Wistars,-16.4952,32.6971
T. Washington,27.5178,-45.872
Spellman,-56.5207,23.9751
R. W. Freman,53.666,27.8829
Darby,-35.4947,36.3024
J.B. Reeves,31.5305,-1.93368
James M. Buel,11.4755,39.0884
W. C. Munroe,-10.7156,9.07385
Blunt,6.53745,-62.9948
Reuben Murray,-56.7966,-17.2322
Samuel Dickerson,46.174,-38.7958
Wilfulness,5.98588,-50.3343
D. Scott,-44.9981,-30.3066
Fred Tucker,66.6272,-0.760953
W. H. Hathaway,14.6102,18.7564
Samuel Webb,64.0772,2.05533
J. W. Stewart,36.7548,-20.5671
F. Lattin,-56.325,-17.2871
W. W. Mathews,-8.60365,-30.4508
H. W. Johnson,-24.3981,-12.8995
Joseph Patrick,18.0271,-5.60208
Daniel Oliver,-43.3526,-31.2916
E. A. Ware,37.9649,-21.4586
1871.KY-01.01.FRAN.txt,39.4241,14.0813
Loundon Triplett,-2.18323,-70.2123
Arthur,10.6077,-16.159
C. M. Furgerson,19.1272,20.9073
Michael Boyer,-34.9082,35.4786
Jefferson,36.2868,39.6701
Stephen Smith,-26.9023,33.944
Russel,-7.81087,-14.7559
W. H. Manly,2.41697,-55.0159
R. L. Byrom,37.8665,13.735
Brougham,18.8553,-4.97688
J.B. Smith14,-19.8044,-2.02248
Manuel S. Jackson,3.21439,-0.11729
G. F. Iverson,-38.1275,4.60917
Garnett,-53.05,-2.10617
T. E. Grant,5.84013,-58.9691
York La Ture,-57.2791,-18.4697
R. R. Wright,42.8898,-19.6291
D. Johnson,2.46548,-55.0846
Eddy,-14.7415,38.4883
Thomas Mcclennon,67.6285,1.3085
J. Forde,4.77775,-80.2259
J.N. Mars,-40.5357,-22.1917
Kenyon,17.6105,-40.0955
J. Mclean,-5.22036,-15.3779
Isaac Carey,-12.1118,64.7385
H. H. Thomas,47.5701,1.98489
William Steward,17.1481,67.8198
M. H. Bentley,37.2915,-18.6217
Robert Johnson,-60.343,-20.5126
John A. Crisup,17.9391,-5.53428
Cyrus Cook,67.2472,0.17314
Joseph C. Pankes,-42.5349,-28.9289
Thomas Pollock,-25.8375,-16.7522
James Needham,-23.5144,15.5455
John Walker,63.0365,1.64087
Henry Harris,-58.7499,-20.3542
George R. Taylor,-23.754,-42.938
R. Murray,-45.1363,-31.3595
Owen Brown,11.3138,38.6973
Marks,41.0381,-22.1685
J. Wandell,-57.4449,-18.8577
John Davenport,-37.928,-7.84885
W. P. Mclntire,-26.2925,-18.2577
Jacob W. Glasgow,-31.3262,13.5424
Caroline Jones,-58.3421,-19.7277
A. Morrison,-58.2498,23.9236
Patterson,-24.4681,56.6003
D. N. Leathers,20.3951,14.3914
C. Hacley,26.7268,-60.4508
T. Johnson,-38.2232,-6.80405
Morell,-36.8411,-8.70869
Symonds,-14.6325,-55.7044
John G. Hudson,-2.26162,-69.8488
Wm. R. Smith,-16.2058,-76.851
Wm. H. Topp,-42.1895,-20.5367
J. H. Kelley,43.6886,-19.1313
Wm. Bird,25.2801,47.8846
William L. Chaplin,-16.8944,-77.7059
George Iii,-12.6709,35.2154
D. Fortin,-1.49411,-50.243
J. A. Furbord,-41.5804,-30.0645
Nicholas Bogart,-44.5291,-31.7363
W.B. Forten,30.9062,-1.93701
Messrs. J. C. Morrel,-8.61173,-30.3057
W. H. Storum,-8.58895,-30.5914
Daniel Webster,53.2392,32.8168
1854.NY-01.02.ALBA.txt,-36.5146,-5.49729
T. W. Henderson,37.9472,-21.5638
Daniel D. Brownhill,-4.02272,69.9356
Susan B. Anthony,-2.62645,-58.0866
H. J. Mcdonald,17.8065,21.0562
Saviour,41.4139,-14.9436
James W.C. Pennington,-9.43428,48.1138
Thomas S. Thompson,-9.93032,48.5663
L. M. Jordan,63.3667,0.828814
Green Hubart,66.66,0.856413
Wodson N. Twine,6.57619,-62.985
C. M. Johnson,66.0689,4.20752
Lott,26.6472,-46.1142
John G. Palfrey,18.348,-52.5945
William Tasker,-16.4973,-62.9842
R. D. Willis,-10.0478,10.9341
K. B. Dunlap,-24.8062,-16.4627
Donagan,11.6378,-13.6151
George A. Duvall,32.2898,33.5878
Davenger,-26.3324,-42.4792
J. D. Patterson,17.8288,-40.0496
J. Benjamin,2.85528,-0.460169
Henry Foster,-58.3079,23.0103
Willis Parker,36.864,14.0458
Calvin Hacket,46.549,-39.2498
Samuel H. Amos,-31.4806,16.439
Robt,-3.58341,54.5034
L. H. Putnam,-21.5048,-41.746
Robert Armstrong,15.7319,14.2396
Samuel Smith,-57.8469,1.54431
Moulton,-4.37408,-62.5353
Charles Pain,-9.05423,-30.6338
James Davenger,-22.6809,-40.0136
John Van Pelt,5.9837,-50.3353
Wilberforce,48.3853,-38.3217
G. M. Gordon,38.9234,-18.492
L. Woodson,-8.24321,9.18002
John B. Pinney,-38.6579,-6.80186
W. H. Yancy,-25.2085,-17.2362
Elisha Banks,52.4148,27.471
Josiah Henson,-19.6568,-4.15186
R.R. Wright,40.8921,-16.3962
A. Jackson,47.7127,27.314
Cass,-9.79574,11.7955
John Redman,36.3131,13.8845
Loguen,-7.98489,-29.2299
Mary Nichols,-19.6832,-2.45731
Edward Coulter,-34.214,36.7924
T. Wassan,66.2737,0.0286965
H. M. Wilson,-8.70152,-30.8296
L. R. Jones,16.4178,13.3083
Benjamin Latimore,-12.0641,64.677
M. R. Rogers Webb,18.3133,19.9127
Davis D. Turner,-24.1778,15.4455
Peter S. Porter,-30.8218,14.9593
H. Yates,24.5197,48.8269
Holden,13.077,-27.6935
B. L. Read,-7.22366,-47.0787
N. P. Thompson,5.98367,-50.3355
Alexander Welch,-57.9598,-19.0013
R.D. Beckley,-23.2286,-41.5981
A. J. Overalls,-0.528835,-59.4338
C. C. Foote,-17.5267,-77.1881
Joseph St. Clair,-15.6848,32.7022
B. Smith,10.2814,-11.88
Alex. Crummell,-54.1838,6.8076
J. F. Dickson,-14.6279,34.6695
J. W. Birney,-7.92556,-54.9911
B. Sanderson,54.2974,26.6966
J. Madden,24.5985,49.185
David J. Peck,-17.4922,34.2088
Mcintosh,-26.2761,-18.1174
G. W. Tillery,17.1832,16.9391
Baily Sparks,17.7714,17.2274
Solomon Peneton,-19.0284,-1.96936
Lloyd Garrison,-5.75418,59.3891
Abraham Williams,-1.58858,64.0915
M. F. Newsome,-9.22011,10.8178
Watkins,-40.1785,3.46729
Peirce,-12.6502,67.662
Jonathan Lopeman,-29.6029,16.0072
Henry Jackson,-48.1617,-25.5008
C. M. Clay,11.3568,-13.5403
Elliott,0.0730701,58.5763
Blackwell,17.7466,68.1235
A. J. Carr,40.5369,-21.5085
Stroud,41.5182,-23.41
Daniel J. Ross,-16.5665,-62.9681
R. G. Hurd,15.5184,13.5963
Newbys,51.1858,30.0352
William Brewer,-5.36573,53.122
Joseph B. Smith,-27.8377,13.9162
D. P. Seaton,-25.5017,-42.8978
J. C. Gibbs,-37.6107,4.05517
Joseph Popel,-16.8086,33.1084
Peter Blackstone,36.4839,38.922
J.W. Walker,31.0573,-1.9114
W. James Indiana,40.9811,-23.076
James Gardner,-45.1325,-29.9493
Wilson Patterson,-1.7946,25.5015
Edward H. Bishop,-37.5042,-7.55729
W. Smith,26.208,48.9374
Jane Johnson,-34.4508,9.18178
Chas C Seth,-55.3201,1.52273
H. Ringgold,1.49169,-37.3243
Walton,26.3844,47.8508
John Gibson,38.1829,14.8021
G. Beeman,-6.56715,-14.3398
N. Johnson,6.46351,-63.2005
Fred Douglass,16.5197,18.444
F. Lawrence,52.8134,29.3551
Closson,-9.782,48.0897
G. W. Shafer,38.5929,-25.3671
Leavenworth,48.4604,1.09883
1840.NY-08.18.ALBA.2.txt,-45.1634,-31.9128
A. A. Allen,18.6116,-52.3321
Ezekiel Caldwell,-35.1077,38.2444
Mason Freeman,0.223391,56.1742
S. Daniels,36.3752,-23.4488
James Lewis,-4.34997,25.0638
Thomas Brown,24.0826,-43.5626
David Rossell,-31.2945,13.8972
M.W. Gibbs,-15.7807,33.5214
Mcintyre,-37.2174,-6.07189
B. P. Stokes,33.6733,34.9573
U. C.,-9.57216,49.4199
1867.PA-01.08.PHIL.02.txt,33.3463,-0.803132
P. H. Reason,-40.5617,-22.2085
J.S. Rock,-25.8382,-42.9107
H. Newby,31.5092,46.5987
George W. Saunders,-1.67183,25.1939
H.B. Williamson,0.622245,27.971
George Mcmullen,0.484468,-52.4576
William H. Day,26.6689,-50.7564
J.J. Wright,-24.5785,-38.7575
Cutnbert,39.8389,-20.0773
F. Jackson,-44.2101,-32.2243
T. B. Potter,-57.2804,25.3942
H. Lott,28.4518,-46.039
Martin Heim,-35.5077,35.0456
Isaiah Clifford,-5.71115,-14.8229
Julius Caesar,-5.22857,9.80376
Hogarth,-8.69464,48.1104
E. L. Bradley,46.2637,1.89237
B. Johns,17.1231,68.6814
Henry A. Wise,18.4263,-52.9014
J. T. Jenifer,44.9104,-18.4066
E. B. Dunlap,-25.1554,-19.4792
James H. Hubbard,54.2601,30.6967
Erie,-38.1217,-7.4583
M. Cross,-44.0276,-28.3956
Stephens,31.6065,-3.96862
M. S. Hayes,53.4507,28.7011
George W. Miller,32.625,33.2961
Abner Frances,0.60077,56.7853
A.J. Hamilton,-1.49072,-50.2432
Lamartine,26.4364,49.4036
R.H. Johnson,-25.6127,-17.1035
Augusta,-7.6706,6.70476
J. F. Mckinley,39.6367,-18.3726
T. N. Stewart,26.4051,-60.74
William Wolcott Ellsworth,-58.255,24.1031
William Hart,36.8319,13.5785
E. E. Parker,25.5995,50.6582
Wm. J. Watkins,-34.456,9.18008
John M. Johnson,65.4768,1.43003
Job Vinient,11.8218,-14.3817
F.C. Lippins,-24.3931,-40.5459
Davis,-27.2679,-17.0007
Charles H. Mcdougal,32.4941,34.4377
J. C. Mortimer,51.3837,31.6808
Benjamin Lynch,-11.7906,12.091
J. W. Duffin,-34.9073,-20.8697
Charles Wyman,-16.6676,-62.6929
Peter W. Cassey,27.7898,47.0355
C. C. Milligan,15.7245,18.7478
A. Ferguson,55.6964,27.8042
Granville Foster,21.138,-51.8608
C.H. Langston,17.8459,-38.7438
Stout,-12.2879,9.56332
D. L. Whitney,17.1904,20.5806
J. W. Jones,17.1659,20.5605
E. D. Shaw,66.4644,4.42403
C. W. Moffit,11.7425,38.6064
H.J.M. Rogers,-58.0642,-17.7882
Henty Brister,-58.1418,1.51845
John Lyle,-43.133,-6.98715
William Allen,-57.5359,22.5728
Hicks,-37.3344,-5.45851
R. W. Fitzhugh,43.7206,-21.4185
C. F. Selden,-57.7021,-19.1551
S. Barnes,-42.163,-29.5037
S. F. Griffin,37.4233,-21.1085
L. A. Grime,1.3138,-37.0976
Stephen Randles,65.1576,4.67592
H. Foster,-25.0144,54.0109
W. S. Lankford,1.5152,-59.0345
Joshua P. B. Eddy,-14.7374,38.489
William Wilson,-24.8024,-42.1162
G. Johnson,34.8959,-54.3973
Wm. H. Yates,27.917,49.2391
D. W. Ruggles,30.5273,43.0976
L. Magee,18.3876,-6.05569
W. Brown,-23.5541,-17.2896
Lee,-50.8119,-0.215811
1858.ON-05.08.CHAT.txt,11.8495,36.6063
Isaiah C. Weir,-15.426,34.6017
William P. Mcintyre,-37.0685,-7.54653
P. Duplex,25.7083,47.0698
Luca,-9.94489,48.9794
Frazer,-11.1368,48.3787
A. Asberry,20.8473,15.3734
T. A. Bush,5.03126,-80.305
Samuel V. Berry,-42.9175,-32.6802
Wm. Burleigh,-34.674,36.1292
Horace Lewis,40.7964,-18.3554
John N. Mars,-43.9457,-29.9498
S. C. Armstrong,41.7451,-23.489
John J. Jackson,11.3287,37.9064
B.S. Anderson,-25.6727,-20.0365
C. E. Vermong,5.98278,-50.334
Taylor,19.2879,-49.5701
M. G. Turner,43.8079,-15.7187
Washam,63.3339,0.201199
A. Asbery,16.7475,20.0122
Thomas Smallwood,-5.36195,-14.5564
Johnson Terry,30.9956,-2.6969
Chandler,3.26327,0.768166
Wm. H. Coleman,13.1293,-27.705
C. W. Gardner,-22.2248,56.8924
J.M. Logan,31.7389,-1.43558
William D. Forten,-0.644522,26.494
G. Brooks,54.5614,31.8022
P. J. Carter,38.4371,-18.1176
Arthur Tappen,0.650589,58.1948
Richard Thompson,-52.5314,-20.178
Richard Richardson,11.4998,38.9861
James Parker,36.6876,14.5642
Mason,34.5287,-23.7402
Tompkins,-37.7595,-0.810752
W. E. Franction,19.1579,21.2447
W. H. Mcalpine,39.8842,-21.4489
J. Hinton,30.5865,-1.69066
Wm. C. Nell,-24.5469,0.663449
Jacob Mahin,4.52021,-80.3805
S. S. Steward,18.5238,-52.3521
P. I. Schuyler,-55.5707,3.20977
Emmett J. Scott,18.0844,18.8072
B. Campbell,26.2079,48.1108
Thomas Van Rensselaer,-55.4644,-0.0609152
Charles Fields,38.2591,11.767
Richard F. Shorter,26.7074,46.6098
J. W. Stuart,27.9189,-44.5823
Peter Johnson,-58.6853,-19.5468
T. J. Baskerville,47.7753,1.96986
Richard Wright,-37.7529,-0.788862
William P.Price,-29.4087,15.3012
R.G.L. Paige,41.4379,-19.9599
Hastings,39.456,-21.7148
W. P. Pledger,40.6284,-16.6504
P. B. S. Pinchback,43.5999,-19.2036
H.H. Thomas,47.637,1.82231
Lemoyne,-16.8116,-78.0143
W. R. Wilson,47.3746,-38.9456
C. W Gardner,-22.5126,56.3443
L. D. Ingersoll,4.95063,-80.4167
Benjamin Stewart,0.466388,-52.4024
Daniel Seals,52.0614,30.6074
Geo Haggimore,-54.6285,3.19094
P. S. Peterson,18.0515,16.6227
L. Carter Beman,-58.1196,23.382
F. Douge,-38.1904,-7.59249
Jefferson Davis,-27.0863,-41.4671
C. W. Gardiner,-30.3521,24.3004
C. Andrew,-0.119663,27.7187
